tahun ,antigen,wilayah,jumlah_bayi
2017,DPT-HB-HIB 2,Jakarta Selatan,39648
2017,DPT-HB-HIB 2,Jakarta Pusat,13537
2017,DPT-HB-HIB 2,Jakarta Utara,31027
2017,DPT-HB-HIB 2,Kepulauan Seribu,466
2017,DPT-HB-HIB 3,Jakarta Barat,46722
2017,DPT-HB-HIB 3,Jakarta Timur,55600
2017,DPT-HB-HIB 3,Jakarta Selatan,40407
2017,DPT-HB-HIB 3,Jakarta Pusat,13816
2017,DPT-HB-HIB 3,Jakarta Utara,30692
2017,DPT-HB-HIB 3,Kepulauan Seribu,480
2017,CAMPAK,Jakarta Barat,46369
2017,CAMPAK,Jakarta Timur,57562
2017,CAMPAK,Jakarta Selatan,38972
2017,CAMPAK,Jakarta Pusat,13474
2017,CAMPAK,Jakarta Utara,28529
2017,CAMPAK,Kepulauan Seribu,455
2017,IDL,Jakarta Barat,46382
2017,IDL,Jakarta Timur,56966
2017,IDL,Jakarta Selatan,38808
2017,IDL,Jakarta Pusat,13120
2017,IDL,Jakarta Utara,31955
2017,IDL,Kepulauan Seribu,455
